指标,地区,时间,数值
中央补助收入（万元）,江西省,2003,2239532.00000
中央补助收入（万元）,江西省,2004,2878185.00000
中央补助收入（万元）,江西省,2005,3362561.00000
中央补助收入（万元）,江西省,2006,4251383.00000
中央补助收入（万元）,江西省,2007,5741821.00000
中央补助收入（万元）,江西省,2008,7520221.00000
中央补助收入（万元）,江西省,2009,9716657.00000
中央补助收入（万元）,江西省,2010,11221700.00000
中央补助收入（万元）,江西省,2011,14865200.00000
中央补助收入（万元）,江西省,2012,16521500.00000
中央补助收入（万元）,江西省,2013,17220400.00000
中央补助收入（万元）,江西省,2014,18176500.00000
中央补助收入（万元）,江西省,2015,19534600.00000
中央补助收入（万元）,江西省,2016,21458900.00000
中央补助收入（万元）,江西省,2017,23282900.00000
中央补助收入（万元）,江西省,2018,24608100.00000
中央补助收入（万元）,江西省,2019,27274600.00000
中央补助收入（万元）,江西省,2020,30333800.00000
中央补助收入（万元）,江西省,2021,29212400.00000
中央补助收入（万元）,江西省,2022,33308200.00000
中央补助收入（万元）,江西省,2023,36995100.00000
中央补助收入（万元）,江西省,2024,36245300.00000
中央补助收入（万元）,山东省,1995,1305303.00000
中央补助收入（万元）,山东省,1996,1390291.00000
中央补助收入（万元）,山东省,1997,1115998.00000
中央补助收入（万元）,山东省,1998,1581606.00000
中央补助收入（万元）,山东省,1999,1741212.00000
中央补助收入（万元）,山东省,2000,1911034.00000
中央补助收入（万元）,山东省,2001,2091322.00000
中央补助收入（万元）,山东省,2002,2827236.00000
中央补助收入（万元）,山东省,2003,3296091.00000
中央补助收入（万元）,山东省,2004,4127620.00000
中央补助收入（万元）,山东省,2005,4598462.00000
中央补助收入（万元）,山东省,2006,5775766.00000
中央补助收入（万元）,山东省,2007,6807381.00000
中央补助收入（万元）,山东省,2008,8398862.00000
中央补助收入（万元）,山东省,2009,11415996.00000
中央补助收入（万元）,山东省,2010,13247800.00000
中央补助收入（万元）,山东省,2011,17179100.00000
中央补助收入（万元）,山东省,2012,19439800.00000
中央补助收入（万元）,山东省,2013,19754500.00000
中央补助收入（万元）,山东省,2014,20211600.00000
中央补助收入（万元）,山东省,2015,22091000.00000
中央补助收入（万元）,山东省,2016,24285800.00000
中央补助收入（万元）,山东省,2017,26325500.00000
中央补助收入（万元）,山东省,2018,28694700.00000
中央补助收入（万元）,山东省,2019,29539300.00000
中央补助收入（万元）,山东省,2020,32963800.00000
中央补助收入（万元）,山东省,2021,32179700.00000
中央补助收入（万元）,山东省,2022,38490500.00000
中央补助收入（万元）,山东省,2023,39518000.00000
中央补助收入（万元）,山东省,2024,38778000.00000
中央补助收入（万元）,    青岛市,1995,304728.00000
中央补助收入（万元）,    青岛市,1996,
中央补助收入（万元）,    青岛市,1997,320997.00000
